03:18:35 --->   row_id 19 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary
03:21:51 --->   row_id 3136 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:52 --->   row_id 3137 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:54 --->   row_id 3138 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:55 --->   row_id 3139 - Actual: Hematology - Oncology | Predicted: General Medicine | General Medicine

03:21:57 --->   row_id 3140 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:58 --->   row_id 3141 - Actual: Hematology - Oncology | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:21:59 --->   row_id 3142 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:01 --->   row_id 3143 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:02 --->   row_id 3144 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:04 --->   row_id 3145 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:06 --->   row_id 3146 - Actual: Hematology - Oncology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:22:08 --->   row_id 3147 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:09 --->   row_id 3148 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:10 --->   row_id 3149 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:12 --->   row_id 3150 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:13 --->   row_id 3151 - Actual: Hematology - Oncology | Predicted: General Medicine | General Medicine

03:22:14 --->   row_id 3152 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:16 --->   row_id 3153 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:17 --->   row_id 3154 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:18 --->   row_id 3155 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:20 --->   row_id 3156 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:21 --->   row_id 3157 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:22 --->   row_id 3158 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:24 --->   row_id 3159 - Actual: Hematology - Oncology | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:22:25 --->   row_id 3160 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:26 --->   row_id 3161 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:28 --->   row_id 3162 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:29 --->   row_id 3163 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:31 --->   row_id 3164 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:32 --->   row_id 3165 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:33 --->   row_id 3166 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:35 --->   row_id 3167 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:36 --->   row_id 3168 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:37 --->   row_id 3169 - Actual: Hematology - Oncology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:22:38 --->   row_id 3170 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:40 --->   row_id 3171 - Actual: Hematology - Oncology | Predicted: Endocrinology | Endocrinology

03:22:41 --->   row_id 3172 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:42 --->   row_id 3173 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:44 --->   row_id 3174 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:45 --->   row_id 3175 - Actual: Hematology - Oncology | Predicted: Gastroenterology | 'Gastroenterology'

03:22:46 --->   row_id 3176 - Actual: Hematology - Oncology | Predicted: Gastroenterology | Gastroenterology

03:22:48 --->   row_id 3177 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:49 --->   row_id 3178 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:50 --->   row_id 3179 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:52 --->   row_id 3180 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:53 --->   row_id 3181 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:55 --->   row_id 3182 - Actual: Hematology - Oncology | Predicted: Gastroenterology | 'Gastroenterology'

03:22:56 --->   row_id 3183 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:22:57 --->   row_id 3184 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:22:58 --->   row_id 3185 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:00 --->   row_id 3186 - Actual: Hematology - Oncology | Predicted: General Medicine | General Medicine

03:23:01 --->   row_id 3187 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:23:02 --->   row_id 3188 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:04 --->   row_id 3189 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:06 --->   row_id 3190 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:07 --->   row_id 3191 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:08 --->   row_id 3192 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:10 --->   row_id 3193 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:11 --->   row_id 3194 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:23:15 --->   row_id 3195 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:23:16 --->   row_id 3196 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:23:17 --->   row_id 3197 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:23:19 --->   row_id 3198 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:23:20 --->   row_id 3199 - Actual: Hematology - Oncology | Predicted: Endocrinology | 'Endocrinology'

03:23:25 --->   row_id 3203 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:26 --->   row_id 3204 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:23:28 --->   row_id 3205 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:31 --->   row_id 3207 - Actual: General Medicine | Predicted: Allergy / Immunology | Allergy / Immunology

03:23:32 --->   row_id 3208 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:23:35 --->   row_id 3210 - Actual: General Medicine | Predicted: Nephrology | 'Nephrology'

03:23:36 --->   row_id 3211 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:37 --->   row_id 3212 - Actual: General Medicine | Predicted: Sleep Medicine | Sleep Medicine

03:23:40 --->   row_id 3214 - Actual: General Medicine | Predicted: Sleep Medicine | 'Sleep Medicine'

03:23:43 --->   row_id 3216 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:23:44 --->   row_id 3217 - Actual: General Medicine | Predicted: Sleep Medicine | 'Sleep Medicine'

03:23:46 --->   row_id 3218 - Actual: General Medicine | Predicted: Rheumatology | Rheumatology

03:23:49 --->   row_id 3221 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:51 --->   row_id 3222 - Actual: General Medicine | Predicted: Endocrinology | Endocrinology

03:23:52 --->   row_id 3223 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:54 --->   row_id 3224 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:55 --->   row_id 3225 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:58 --->   row_id 3227 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:23:59 --->   row_id 3228 - Actual: General Medicine | Predicted: Nephrology | Nephrology

03:24:00 --->   row_id 3229 - Actual: General Medicine | Predicted: Nephrology | 'Nephrology'

03:24:01 --->   row_id 3230 - Actual: General Medicine | Predicted: Sleep Medicine | 'Sleep Medicine'

03:24:04 --->   row_id 3232 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:24:47 --->   row_id 3264 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:24:49 --->   row_id 3265 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:24:52 --->   row_id 3267 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:24:55 --->   row_id 3269 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:24:57 --->   row_id 3271 - Actual: General Medicine | Predicted: Allergy / Immunology | 'Allergy / Immunology'

03:24:59 --->   row_id 3272 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:25:01 --->   row_id 3273 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:02 --->   row_id 3274 - Actual: General Medicine | Predicted: Allergy / Immunology | Allergy / Immunology

03:25:05 --->   row_id 3275 - Actual: General Medicine | Predicted: none | Hematology - Oncology

03:25:06 --->   row_id 3276 - Actual: General Medicine | Predicted: Endocrinology | 'Endocrinology'

03:25:09 --->   row_id 3278 - Actual: General Medicine | Predicted: Endocrinology | Endocrinology

03:25:12 --->   row_id 3280 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:13 --->   row_id 3281 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:25:18 --->   row_id 3284 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:19 --->   row_id 3285 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:21 --->   row_id 3286 - Actual: General Medicine | Predicted: Endocrinology | 'Endocrinology'

03:25:22 --->   row_id 3287 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:26 --->   row_id 3290 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:25:28 --->   row_id 3291 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:25:29 --->   row_id 3292 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:25:40 --->   row_id 3299 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:44 --->   row_id 3302 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:53 --->   row_id 3308 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:25:54 --->   row_id 3309 - Actual: General Medicine | Predicted: Allergy / Immunology | Allergy / Immunology

03:25:58 --->   row_id 3311 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:25:59 --->   row_id 3312 - Actual: General Medicine | Predicted: Nephrology | 'Nephrology'

03:26:04 --->   row_id 3314 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:08 --->   row_id 3317 - Actual: General Medicine | Predicted: Endocrinology | 'Endocrinology'

03:26:09 --->   row_id 3318 - Actual: General Medicine | Predicted: Endocrinology | 'Endocrinology'

03:26:11 --->   row_id 3319 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:16 --->   row_id 3323 - Actual: General Medicine | Predicted: Endocrinology | 'Endocrinology'

03:26:17 --->   row_id 3324 - Actual: General Medicine | Predicted: Nephrology | Neurology

03:26:19 --->   row_id 3325 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:26:22 --->   row_id 3327 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:26:23 --->   row_id 3328 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:26:25 --->   row_id 3329 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:26:26 --->   row_id 3330 - Actual: General Medicine | Predicted: Rheumatology | Rheumatology

03:26:27 --->   row_id 3331 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:29 --->   row_id 3332 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:26:32 --->   row_id 3334 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:33 --->   row_id 3335 - Actual: General Medicine | Predicted: Rheumatology | Rheumatology

03:26:35 --->   row_id 3336 - Actual: General Medicine | Predicted: Nephrology | 'Nephrology'

03:26:37 --->   row_id 3338 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:39 --->   row_id 3339 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:40 --->   row_id 3340 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:26:43 --->   row_id 3342 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:48 --->   row_id 3345 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:26:49 --->   row_id 3346 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:26:51 --->   row_id 3347 - Actual: General Medicine | Predicted: Rheumatology | 'Rheumatology'

03:26:52 --->   row_id 3348 - Actual: General Medicine | Predicted: Endocrinology | Endocrinology

03:26:54 --->   row_id 3349 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:26:55 --->   row_id 3350 - Actual: General Medicine | Predicted: Endocrinology | Endocrinology

03:26:57 --->   row_id 3351 - Actual: General Medicine | Predicted: Rheumatology | Rheumatology

03:26:58 --->   row_id 3352 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:27:02 --->   row_id 3355 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:27:03 --->   row_id 3356 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:27:06 --->   row_id 3357 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:27:08 --->   row_id 3358 - Actual: General Medicine | Predicted: Allergy / Immunology | Allergy / Immunology

03:27:10 --->   row_id 3360 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:27:12 --->   row_id 3361 - Actual: General Medicine | Predicted: Allergy / Immunology | Allergy / Immunology

03:27:17 --->   row_id 3365 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:27:18 --->   row_id 3366 - Actual: General Medicine | Predicted: Allergy / Immunology | Allergy / Immunology

03:27:24 --->   row_id 3370 - Actual: General Medicine | Predicted: Rheumatology | Rheumatology

03:27:25 --->   row_id 3371 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:27:34 --->   row_id 3377 - Actual: General Medicine | Predicted: Nephrology | 'Nephrology'

03:27:35 --->   row_id 3378 - Actual: General Medicine | Predicted: Nephrology | Nephrology

03:27:42 --->   row_id 3383 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:27:48 --->   row_id 3387 - Actual: General Medicine | Predicted: Endocrinology | 'Endocrinology'

03:27:52 --->   row_id 3390 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:27:55 --->   row_id 3393 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:00 --->   row_id 3396 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:01 --->   row_id 3397 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:28:02 --->   row_id 3398 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:28:04 --->   row_id 3399 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:06 --->   row_id 3400 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:28:07 --->   row_id 3401 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:10 --->   row_id 3403 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:17 --->   row_id 3408 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:28:18 --->   row_id 3409 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:20 --->   row_id 3410 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:21 --->   row_id 3411 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:28:22 --->   row_id 3412 - Actual: General Medicine | Predicted: Endocrinology | Endocrinology

03:28:25 --->   row_id 3414 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:28:27 --->   row_id 3415 - Actual: General Medicine | Predicted: Endocrinology | Endocrinology

03:28:28 --->   row_id 3416 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:32 --->   row_id 3419 - Actual: General Medicine | Predicted: Nephrology | Nephrology

03:28:33 --->   row_id 3420 - Actual: General Medicine | Predicted: Nephrology | 'Nephrology'

03:28:35 --->   row_id 3421 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:28:36 --->   row_id 3422 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:28:43 --->   row_id 3423 - Actual: General Medicine | Predicted: Endocrinology | Endocrinology

03:28:46 --->   row_id 3425 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:28:47 --->   row_id 3426 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:49 --->   row_id 3427 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:50 --->   row_id 3428 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:28:52 --->   row_id 3429 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:28:53 --->   row_id 3430 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:01 --->   row_id 3432 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:03 --->   row_id 3433 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:29:04 --->   row_id 3434 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:06 --->   row_id 3435 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:08 --->   row_id 3437 - Actual: General Medicine | Predicted: none | Hematology - Oncology

03:29:10 --->   row_id 3438 - Actual: General Medicine | Predicted: Gastroenterology | 'Gastroenterology'

03:29:11 --->   row_id 3439 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:29:17 --->   row_id 3443 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:19 --->   row_id 3444 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:20 --->   row_id 3445 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:21 --->   row_id 3446 - Actual: General Medicine | Predicted: none | Hematology - Oncology

03:29:23 --->   row_id 3447 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:27 --->   row_id 3450 - Actual: General Medicine | Predicted: none | 'Hematology - Oncology'

03:29:33 --->   row_id 3452 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:29:44 --->   row_id 3457 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:29:46 --->   row_id 3458 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:29:47 --->   row_id 3459 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:29:50 --->   row_id 3461 - Actual: General Medicine | Predicted: Gastroenterology | Gastroenterology

03:29:56 --->   row_id 3464 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:29:59 --->   row_id 3466 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:30:02 --->   row_id 3468 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:30:20 --->   row_id 3481 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

