02:42:10 --->   row_id 27 - Actual: Urology | Predicted: Gastroenterology | Gastroenterology
02:59:43 --->   row_id 3791 - Actual: Endocrinology | Predicted: ENT - Otolaryngology | 'ENT - Otolaryngology'

02:59:45 --->   row_id 3792 - Actual: Endocrinology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

02:59:46 --->   row_id 3794 - Actual: Endocrinology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

02:59:49 --->   row_id 3797 - Actual: Endocrinology | Predicted: ENT - Otolaryngology | 'ENT - Otolaryngology'

02:59:51 --->   row_id 3798 - Actual: Endocrinology | Predicted: Orthopedic | Orthopedic

02:59:52 --->   row_id 3799 - Actual: Endocrinology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

02:59:54 --->   row_id 3801 - Actual: Endocrinology | Predicted: none | Hematology - Oncology

02:59:55 --->   row_id 3808 - Actual: Endocrinology | Predicted: Gastroenterology | Gastroenterology

02:59:57 --->   row_id 3811 - Actual: Endocrinology | Predicted: Sleep Medicine | Sleep Medicine

03:00:03 --->   row_id 4003 - Actual: Dermatology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

03:00:06 --->   row_id 4008 - Actual: Dermatology | Predicted: Gastroenterology | Gastroenterology

03:00:14 --->   row_id 4015 - Actual: Dermatology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

03:00:17 --->   row_id 4019 - Actual: Dermatology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

03:00:18 --->   row_id 4023 - Actual: Dermatology | Predicted: Gastroenterology | Gastroenterology

03:00:24 --->   row_id 4616 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:00:45 --->   row_id 4631 - Actual: Cardiovascular / Pulmonary | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

03:00:53 --->   row_id 4637 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:01:07 --->   row_id 4646 - Actual: Cardiovascular / Pulmonary | Predicted: ENT - Otolaryngology | 'ENT - Otolaryngology'

03:01:11 --->   row_id 4652 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | Gastroenterology

03:01:21 --->   row_id 4665 - Actual: Cardiovascular / Pulmonary | Predicted: Endocrinology | Endocrinology

03:01:57 --->   row_id 4689 - Actual: Cardiovascular / Pulmonary | Predicted: Sleep Medicine | Sleep Medicine

03:02:02 --->   row_id 4694 - Actual: Cardiovascular / Pulmonary | Predicted: Rheumatology | 'Rheumatology'

03:02:10 --->   row_id 4700 - Actual: Cardiovascular / Pulmonary | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

03:02:43 --->   row_id 4720 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | Gastroenterology

03:03:17 --->   row_id 4754 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | Gastroenterology

03:03:23 --->   row_id 4758 - Actual: Cardiovascular / Pulmonary | Predicted: Psychiatry / Psychology | Psychiatry / Psychology

03:03:26 --->   row_id 4760 - Actual: Cardiovascular / Pulmonary | Predicted: Psychiatry / Psychology | Psychiatry / Psychology

03:03:33 --->   row_id 4764 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:04:02 --->   row_id 4789 - Actual: Cardiovascular / Pulmonary | Predicted: Allergy / Immunology | Allergy / Immunology

03:04:53 --->   row_id 4830 - Actual: Cardiovascular / Pulmonary | Predicted: ENT - Otolaryngology | 'ENT - Otolaryngology'

03:05:53 --->   row_id 4880 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:05:58 --->   row_id 4885 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:06:03 --->   row_id 4888 - Actual: Cardiovascular / Pulmonary | Predicted: Sleep Medicine | Sleep Medicine

03:06:04 --->   row_id 4889 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | Gastroenterology

03:06:15 --->   row_id 4900 - Actual: Cardiovascular / Pulmonary | Predicted: Psychiatry / Psychology | Psychiatry / Psychology

03:06:16 --->   row_id 4902 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:06:49 --->   row_id 4924 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:07:35 --->   row_id 4961 - Actual: Cardiovascular / Pulmonary | Predicted: Orthopedic | Orthopedic

03:07:42 --->   row_id 4965 - Actual: Cardiovascular / Pulmonary | Predicted: Sleep Medicine | 'Sleep Medicine'

03:07:52 --->   row_id 4974 - Actual: Cardiovascular / Pulmonary | Predicted: Psychiatry / Psychology | Psychiatry / Psychology

03:07:57 --->   row_id 4993 - Actual: Allergy / Immunology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

03:07:59 --->   row_id 4994 - Actual: Allergy / Immunology | Predicted: ENT - Otolaryngology | ENT - Otolaryngology

03:08:00 --->   row_id 4995 - Actual: Allergy / Immunology | Predicted: none | Pediatrics

